timestamp,min,max,mean,variance,standard_deviation
1386680904987958172,-0.6500466618993119,-0.2622146454104275,-0.45781653987466325,0.005305000487060966,0.07283543428209216
1386680905632245281,-5.261423465415429,10.171024587057577,-0.16583379992915795,4.922586345496575,2.2186902319829542
1386680906276776531,-6.604712826640764,32.79800324355451,5.124681454683689,87.90104509311682,9.375555721828803
1386680906921692313,-6.604712826640764,38.95661536552945,13.227164115744266,133.78022376991063,11.56634011993036
1386680907566223563,-7.612163479645334,38.95661536552945,16.822524851317496,160.10163589502943,12.653127514374832
1386680908210962549,-7.612163479645334,32.92868793048092,11.052203449692419,149.51891592795712,12.227792765988355
1386680908855493799,-9.550132199047841,26.54469423985516,2.5161379234312817,51.11480531420676,7.149461889835259
1386680909500025049,-9.550132199047841,15.02407795502793,-0.44439047554924227,60.008225289473664,7.746497614372166
1386680910144556299,-9.413724239350623,13.213237227173789,-0.995067161093661,55.695453037791346,7.4629386328571234
1386680910789057031,-9.34979658722521,13.082665100242878,-0.5720943045646957,48.9614095097656,6.9972429934771885
1386680911433942542,-9.331389186453386,14.238801496805724,0.5147918260069594,43.10234452472607,6.565237583265824
1386680912078473792,-7.015141707277759,14.238801496805724,1.7187006130163895,21.131938339676882,4.5969488075980225
1386680912723005042,-2.430311306646038,8.664601261561295,2.2229347479444237,6.291059060454806,2.5081983694386705
1386680913392798862,-2.430311306646038,8.664601261561295,2.1169928344129447,6.33713354120085,2.5173663899402587
1386680914037360629,-3.953528698466025,5.024969308326186,1.5992591342308853,3.9507072368199574,1.987638608203201
1386680914681830844,-3.953528698466025,6.112362280700237,1.3614335110667926,5.19219699309044,2.2786392854268183
1386680915326270541,-4.225925487665992,6.112362280700237,1.0281928377583223,5.895956379570852,2.4281590515390157
1386680915970923862,-4.499381965395603,5.26636548439722,0.7005514467024919,5.727416086285874,2.393202057137231
1386680916615809388,-4.499381965395603,4.369721500495734,0.05314474417689487,3.76414157271739,1.9401395755763011
1386680917260340638,-3.627462614210639,4.840177862129682,-0.4508968221034933,1.4347477890188838,1.197809579615593
